 ,Mean(RP1column),Mean(CBpeduncle),Mean(stimu)
938,33.575,32.491,64.583
939,33.609,31.483,64.750
940,33.597,30.694,64.583
941,33.506,29.990,64.750
942,34.021,33.337,64.583
943,34.038,32.717,64.583
944,34.002,31.738,64.667
945,34.043,30.951,64.667
946,34.079,30.231,64.667
947,34.071,29.542,64.667
948,34.352,32.967,64.667
949,34.261,32.537,64.667
950,34.270,31.562,64.667
951,34.256,30.617,64.667
952,34.031,29.838,64.667
953,34.031,29.398,64.667
954,33.990,28.832,64.667
955,34.552,32.754,64.667
956,34.434,31.906,64.667
957,34.350,31.209,64.667
958,34.144,30.350,64.667
959,34.509,32.975,64.667
960,34.425,32.429,64.667
961,34.467,31.608,64.667
962,34.388,30.641,64.667
963,34.568,33.094,64.667
964,34.336,32.304,64.500
965,34.283,31.453,64.333
966,34.344,32.779,64.333
967,34.231,32.722,64.333
968,34.277,31.968,64.333
969,34.219,31.692,64.333
970,34.327,32.882,64.333
971,34.105,31.957,64.333
972,34.044,31.151,64.333
973,34.233,32.720,64.333
974,34.031,31.964,64.333
975,33.922,31.263,64.333
976,34.179,32.747,64.333
977,34.064,32.007,64.333
978,34.083,32.253,64.333
979,34.107,32.706,64.333
980,34.124,31.900,64.500
981,34.076,32.007,64.500
982,34.133,32.561,64.500
983,33.961,31.639,64.333
984,34.167,30.987,64.417
985,34.296,32.535,64.500
